source_id	tier	category	path	decision	optimized_count	priority	study_stage	fs_level	fs_kind	primary_languages	language_priority	os_fit	covered_by	rationale
linux	required	os-vfs	sources/os/linux/linux	keep	yes	P0	os-and-protocol-baseline	L0 OS VFS/kernel	os-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux		First-pass source: core OS/protocol/distributed FS path or mandatory validation gate.
linux-stable	important	os-vfs	sources/os/linux/linux-stable	dedup	no	P3-dedup	deduplicated	L0 OS VFS/kernel	os-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux	linux	Covered by linux; keep as reference but do not count in the optimized first pass.
freebsd-src	required	os-vfs	sources/os/bsd/freebsd-src	keep	yes	P1	os-and-protocol-baseline	L0 OS VFS/kernel	os-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	bsd		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
openbsd-src	required	os-vfs	sources/os/bsd/openbsd-src	keep	yes	P1	os-and-protocol-baseline	L0 OS VFS/kernel	os-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	bsd		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
netbsd-src	required	os-vfs	sources/os/bsd/netbsd-src	keep	yes	P1	os-and-protocol-baseline	L0 OS VFS/kernel	os-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	bsd		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
dragonflybsd	required	os-vfs	sources/os/bsd/dragonflybsd	keep	yes	P1	os-and-protocol-baseline	L0 OS VFS/kernel	os-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	bsd		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
illumos-gate	required	os-vfs	sources/os/illumos/illumos-gate	keep	yes	P1	os-and-protocol-baseline	L0 OS VFS/kernel	os-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	illumos/solaris		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
plan9	important	os-vfs	sources/os/plan9/plan9	defer	no	P3	os-and-protocol-baseline	L0 OS VFS/kernel	os-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux,macos,bsd		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
9front	important	os-vfs	sources/os/plan9/9front	defer	no	P3	os-and-protocol-baseline	L0 OS VFS/kernel	os-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux,macos,bsd		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
reactos	required	windows-public	sources/windows/reactos	keep	yes	P1	platform-support	L0/L1 public Windows FS stack	os-fs	C,C++	Study only after the core FS path is understood.	windows-compatible		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
windows-driver-samples	important	windows-public	sources/windows/windows-driver-samples	keep	yes	P1	platform-support	L0/L1 public Windows FS stack	os-fs	C,C++	Study only after the core FS path is understood.	windows		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
winfsp	required	windows-public	sources/windows/winfsp	keep	yes	P1	platform-support	L0/L1 public Windows FS stack	os-fs	C	Study only after the core FS path is understood.	windows		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
dokany	required	windows-public	sources/windows/dokany	keep	yes	P1	platform-support	L0/L1 public Windows FS stack	os-fs	C,C++	Study only after the core FS path is understood.	windows		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
